city,Geographic.area
Acton,Halton
Alexandria,"Stormont, Dundas and Glengarry"
Algoma Mills,Algoma
Alliston,Simcoe
Almonte,Lanark
Amhertsburg,Essex
Ancaster,Hamilton
Angus,Simcoe
Ardendale,Frontenac
Arkell,Wellington
Ashton,Lanark
Attawapiskat,Kenora
Ayr,Waterloo
Ayton,Grey
Baden,Waterloo
Badjeros,Grey
Barrhaven,Ottawa
Barry's Bay,Renfrew
Beamsville,Niagara
Beeton,Simcoe
Belmont,Elgin
Belwood,Wellington
Big Trout Lake,Kenora
Binbrook,Hamilton
Blackstock,Durham
Blenheim,Chatham-Kent
Bloomfield,Prince Edward
Bolton,Peel
Bowmanville,Durham
Bradford,Simcoe
Brantford,Brantford
Brechin,Simcoe
Breslau,Waterloo
Bridgenorth,Peterborough
Brooklin,Durham
Caledonia,Haldimand
Campbellford,Northumberland
Cannington,Durham
Capreol,Greater Sudbury
Cargill,Bruce
Chatham,Chatham-Kent
Chelmsford,Greater Sudbury
Chesterville,"Stormont, Dundas and Glengarry"
Clarksburg,Grey
Clinton,Huron
Coe Hill,Hastings
Colborne,Northumberland
Concord,York
Corbeil,Nipissing
Corbyville,Hastings
Corunna,Lambton
Courtice,Durham
Cumberland,Ottawa
Delhi,Norfolk
Downsview,Toronto
Dresden,Chatham-Kent
Drumbo,Oxford
Dundas,Hamilton
Dunnville,Haldimand
Dunrobin,Ottawa
Durham,Grey
East York,Toronto
Eganville,Renfrew
Egbert,Simcoe
Elk Lake,Timiskaming
Elmira,Waterloo
Enterprise,Lennox and Addington
Etobicoke,Toronto
Exeter,Huron
Fenelon Falls,Kawartha Lakes
Fergus,Wellington
Fingal,Elgin
Flesherton,Grey
Forest,Lambton
Georgetown,Halton
Geraldton,Thunder Bay
Godfrey,Frontenac
Grand Bend,Lambton
Greater Sudbury,Greater Sudbury
Hagersville,Haldimand
Haileybury,Timiskaming
Haliburton,Haliburton
Harriston,Wellington
Hastings,Northumberland
Havelock,Peterborough
Hood,Lanark
Janetville,Kawartha Lakes
Jarvis,Haldimand
Kanata,Ottawa
Kasabonika,Kenora
Kawartha Lakes,Kawartha Lakes
Keswick,York
Kinburn,Huron
King City,York
Kirkfield,Kawartha Lakes
Kleinburg Station,York
Lakefield,Peterborough
Lanark,Lanark
Lancaster,"Stormont, Dundas and Glengarry"
Lansdowne,Leeds and Grenville
Limoges,Prescott and Russell
Lindsay,Kawartha Lakes
Lion's Head,Bruce
Little Current,Manitoulin
Lively,Greater Sudbury
Longlac,Thunder Bay
Loretto,Simcoe
L'Orignal,Prescott and Russell
Manotick Station,Ottawa
Maple,York
Millbrook,Peterborough
Milverton,Perth
Monkton,Perth
Moose Creek,"Stormont, Dundas and Glengarry"
Morrisburg,"Stormont, Dundas and Glengarry"
Mount Albert,York
Mount Brydges,Middlesex
Mount Elgin,Oxford
Mount Forest,Wellington
Mountain Grove,Frontenac
Napanee,Lennox and Addington
Nepean,Ottawa
New Hamburg,Waterloo
Nobleton,York
North Woodslee,Essex
North York,Toronto
Ohsweken,Brant
Omemee,Kawartha Lakes
Orchardville,Grey
Orleans,Ottawa
Ottawa,Ottawa
Pakenham,Lanark
Paris,Brant
Picton,Prince Edward
Pontypool,Kawartha Lakes
Port Elgin,Bruce
Port Rowan,Norfolk
Ramore,Cochrane
Richmond,Ottawa
Ridgetown,Chatham-Kent
Ridgeway,Niagara
Rockland,Prescott and Russell
Rockwood,Wellington
Rodney,Elgin
Sandy Lake,Kenora
Scarborough,Toronto
Scotland,Brant
Severn Bridge,Muskoka
Simcoe,Norfolk
Slate Falls,Kenora
South Porcupine,Cochrane
Springfield,Elgin
Springford,Oxford
Stayner,Simcoe
Stevensville,Niagara
Stittsville,Ottawa
Stoney Creek,Hamilton
Stouffville,York
Strathroy,Middlesex
Sturgeon Falls,Nipissing
Sunderland,Durham
Sutton West,York
Sydenham,Frontenac
Thorndale,Middlesex
Thornhill,York
Thornton,Simcoe
Toronto,Toronto
Tottenham,Simcoe
Trenton,Hastings
Unionville,York
Utopia,Simcoe
Utterson,Muskoka
Walkerton,Bruce
Wallaceburg,Chatham-Kent
Washago,Simcoe
Waterdown,Hamilton
Waterford,Norfolk
Watford,Lambton
Wiarton,Bruce
Wikwemikong,Manitoulin
Williamsburg,"Stormont, Dundas and Glengarry"
Wingham,Huron
Woodbridge,York
Woodlawn,Ottawa
Wyecombe,Norfolk
Wyoming,Lambton
Zurich,Huron
Tara,Bruce
Pefferlaw,York
Rosseau Falls,Parry Sound
Elora,Wellington
Southampton,Bruce
Cavan,Peterborough
Linwood,Waterloo
Iroquois,"Stormont, Dundas and Glengarry"
Caledon East,Peel
Vankleek Hill,Prescott and Russell
Lucan,Middlesex
Cloyne,Lennox and Addington
Campbellville,Halton
Alma,Wellington
Limehouse,Halton
Maryhill,Waterloo
Moose Factory,Cochrane
Listowel,Perth
Caledon Village,Peel
Dundalk,Grey
Fonthill,Niagara
Newcastle,Durham
Mildmay,Bruce
Shanty Bay,Simcoe
Mitchell/Ontario,Perth
Dashwood,Huron
Neustadt,Grey
Port Perry,Durham
Harrow,Essex
Spencerville,Leeds and Grenville
Garson,Greater Sudbury
Fort Albany,Cochrane
Creemore,Simcoe
Hawkestone Beach,Simcoe
Carp,Ottawa
Beaverton,Durham
Duntroon,Simcoe
Frankford,Hastings
Bobcaygeon,Kawartha Lakes
Burford,Brant
Stirling,Hastings
Fallingbrook,Ottawa
Star Corners,Frontenac
Orono,Durham
Seaforth,Huron
Rexdale,Toronto
Baltimore,Northumberland
Yarker,Lennox and Addington
Novar,Parry Sound
Greely,Ottawa
Komoka,Middlesex
